                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2615,                 4.8824,                 4.0871,                  6e-05,                0.08333,                0.00049,                0.00012,                 5.3516,                 5.2372,                 4.3852,             0.00023595,             0.00023595,             0.00023595
                      2,                 3.1089,                 3.2963,                  2.969,                0.87405,                0.05457,                0.03194,                0.01092,                 2.7487,                 3.7743,                 2.7784,             0.00046926,             0.00046926,             0.00046926
                      3,                 2.5875,                 2.6595,                 2.4044,                0.73295,                0.06465,                0.07257,                0.02696,                 2.1433,                 2.1288,                 2.3931,             0.00069785,             0.00069785,             0.00069785
                      4,                 2.3317,                 2.2536,                 2.1875,                0.60293,                0.09431,                0.11211,                  0.045,                 2.1063,                  1.871,                  2.173,             0.00069279,             0.00069279,             0.00069279
                      5,                 2.1964,                  2.028,                 2.0506,                 0.7586,                 0.0949,                0.14986,                0.04815,                  2.251,                 2.1434,                 2.2795,             0.00068573,             0.00068573,             0.00068573
                      6,                 2.0534,                 1.7747,                 1.9221,                0.63328,                0.12693,                0.14157,                0.06717,                 1.8144,                  1.459,                 1.9156,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.9934,                 1.6927,                 1.8889,                0.79373,                0.13049,                0.18294,                0.07927,                 1.8527,                 1.6081,                 1.9288,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.9287,                 1.6226,                 1.8248,                0.62494,                0.23814,                0.22366,                0.12047,                 1.7039,                  1.348,                 1.8129,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.9039,                 1.4699,                 1.7768,                0.29944,                0.24251,                0.18495,                0.08822,                 1.7525,                 1.2861,                 1.8631,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.8491,                 1.4299,                 1.7497,                 0.7985,                0.13879,                0.15693,                0.07405,                 1.7336,                 1.3571,                 1.8241,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.8371,                 1.4014,                 1.7361,                0.80584,                0.14294,                0.24766,                0.12858,                 1.6755,                 1.1717,                 1.7548,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.7938,                 1.3672,                 1.7087,                0.80006,                0.14502,                0.17183,                0.08608,                 1.6567,                 1.2379,                 1.7536,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.7838,                 1.3435,                 1.6862,                0.52568,                0.29428,                 0.2209,                0.11724,                 1.6283,                 1.1981,                 1.7276,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.7713,                 1.2954,                 1.6714,                0.80562,                 0.1398,                0.17848,                0.08962,                 1.7213,                 1.3603,                 1.7944,             0.00062211,             0.00062211,             0.00062211
